         1485917 function calls (1462274 primitive calls) in 83.220 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 registry.py:125(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:382(DefaultSplitter)
        1    0.000    0.000    0.000    0.000 core.py:666(BaseData)
        1    0.000    0.000    0.000    0.000 queue.py:27(Queue)
        1    0.000    0.000    0.000    0.000 fixedwidth.py:65(FixedWidthHeader)
        1    0.000    0.000    0.000    0.000 ipac.py:66(IpacHeader)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
        1    0.000    0.000    0.000    0.000 util.py:261(encode_ascii)
       15    0.000    0.000    0.000    0.000 column.py:468(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:753(_Tellable)
        1    0.000    0.000    0.000    0.000 base.py:1564(NonstandardExtHDU)
       13    0.000    0.000    0.000    0.000 tree.py:73(_lookup_by_attr_factory)
        1    0.000    0.000    0.000    0.000 tree.py:336(_UtypeProperty)
        1    0.000    0.000    0.000    0.000 tree.py:490(SimpleElementWithContent)
        1    0.000    0.000    0.000    0.000 tree.py:1569(Param)
        1    0.000    0.000    0.000    0.000 tree.py:1726(FieldRef)
        1    0.000    0.000    0.000    0.000 tree.py:1858(Group)
        1    0.000    0.000    0.000    0.000 converters.py:369(UnicodeChar)
        1    0.000    0.000    0.000    0.000 validate.py:8(<module>)
        7    0.000    0.000    0.000    0.000 _distn_infrastructure.py:861(_argcheck)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3333(rv_sample)
        3    0.000    0.000    0.000    0.000 doccer.py:128(extend_notes_in_docstring)
        1    0.000    0.000    0.000    0.000 interpolate.py:704(_PPolyBase)
        1    0.000    0.000    0.000    0.000 interpolate.py:927(PPoly)
        1    0.000    0.000    0.000    0.000 _bsplines.py:46(BSpline)
        1    0.000    0.000    0.000    0.000 kdtree.py:77(Rectangle)
        1    0.000    0.000    0.000    0.000 csc.py:19(csc_matrix)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.000    0.000    0.000    0.000 arpack.py:979(IterOpInv)
        1    0.000    0.000    0.000    0.000 matfuncs.py:187(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 canonical_constraint.py:5(CanonicalConstraint)
        1    0.000    0.000    0.000    0.000 tr_interior_point.py:24(BarrierSubproblem)
        1    0.000    0.000    0.000    0.000 nonlin.py:911(BroydenFirst)
        1    0.000    0.000    0.000    0.000 nonlin.py:1271(ExcitingMixing)
        1    0.000    0.000    0.000    0.000 _ode.py:102(ode)
        1    0.000    0.000    0.000    0.000 _ode.py:834(vode)
        1    0.000    0.000    0.000    0.000 base.py:26(OdeSolver)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1042(chi2_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2174(genpareto_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2308(genextreme_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3187(invgamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4152(logistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4447(gilbrat_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5405(lomax_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5793(rayleigh_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:7133(rv_histogram)
        7    0.000    0.000    0.000    0.000 <string>:2(_parse_args)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:20(binom_gen)
        1    0.000    0.000    0.000    0.000 _multivariate.py:182(multi_rv_generic)
        1    0.000    0.000    0.000    0.000 _multivariate.py:216(multi_rv_frozen)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3337(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3486(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3596(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3778(__init__)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        7    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        3    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        2    0.000    0.000    0.000    0.000 sre_parse.py:98(checkgroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:288(seek)
        1    0.000    0.000    0.000    0.000 sre_parse.py:1036(expand_template)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:28(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
        1    0.000    0.000    0.000    0.000 py3k.py:104(contextlib_nullcontext)
        2    0.000    0.000    0.000    0.000 pathlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:779(name)
        1    0.000    0.000    0.000    0.000 parse.py:142(_NetlocResultMixinBase)
        7    0.000    0.000    0.000    0.000 parse.py:394(_checknetloc)
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.set_string_function}
        7    0.000    0.000    0.000    0.000 numerictypes.py:655(<listcomp>)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        3    0.000    0.000    0.000    0.000 _dtype.py:75(_isunsized)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_unsafe_first_element_pointer)
        1    0.000    0.000    0.000    0.000 pickle.py:184(_Framer)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1135(IntegerFormat)
        8    0.000    0.000    0.000    0.000 getlimits.py:92(_register_type)
        1    0.000    0.000    0.000    0.000 index_tricks.py:300(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 index_tricks.py:515(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:545(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:238(NodeVisitor)
        1    0.000    0.000    0.000    0.000 utils.py:994(SafeEval)
        1    0.000    0.000    0.000    0.000 npyio.py:58(BagObj)
        1    0.000    0.000    0.000    0.000 npyio.py:122(NpzFile)
        1    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:567(Barrier)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 tokenize.py:339(_get_normal_name)
        7    0.000    0.000    0.000    0.000 _iotools.py:46(_is_string_like)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:468(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:1169(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1186(setLoggerClass)
        2    0.000    0.000    0.000    0.000 __init__.py:1199(getLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1531(addHandler)
        1    0.000    0.000    0.000    0.000 string.py:55(_TemplateMetaclass)
        1    0.000    0.000    0.000    0.000 string.py:78(Template)
        1    0.000    0.000    0.000    0.000 string.py:175(Formatter)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 suite.py:92(TestSuite)
        1    0.000    0.000    0.000    0.000 loader.py:77(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:877(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        1    0.000    0.000    0.000    0.000 utils.py:1965(suppress_warnings)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 tempfile.py:414(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 nosetester.py:115(NoseTester)
        1    0.000    0.000    0.000    0.000 __init__.py:1264(rc_context)
        1    0.000    0.000    0.000    0.000 version.py:31(Version)
        1    0.000    0.000    0.000    0.000 dis.py:461(Bytecode)
        1    0.000    0.000    0.000    0.000 subprocess.py:97(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:506(KqueueSelector)
        1    0.000    0.000    0.000    0.000 request.py:433(OpenerDirector)
        1    0.000    0.000    0.000    0.000 request.py:793(ProxyHandler)
        1    0.000    0.000    0.000    0.000 request.py:835(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 request.py:1050(AbstractDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1557(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:2361(ftpwrapper)
        1    0.000    0.000    0.000    0.000 client.py:1345(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        1    0.000    0.000    0.000    0.000 socket.py:546(SocketIO)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 ssl.py:351(_ASN1Object)
        1    0.000    0.000    0.000    0.000 __init__.py:615(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:629(Stack)
        5    0.000    0.000    0.000    0.000 rcsetup.py:644(validate_sketch)
        1    0.000    0.000    0.000    0.000 pyparsing.py:236(ParseBaseException)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3363(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3324(White)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3531(WordEnd)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3910(Each)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4043(ParseElementEnhance)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4382(Optional)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4824(postParse)
        4    0.000    0.000    0.000    0.000 pyparsing.py:6226(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:94(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:306(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:427(Colormap)
        1    0.000    0.000    0.000    0.000 colors.py:632(LinearSegmentedColormap)
        1    0.000    0.000    0.000    0.000 colors.py:781(ListedColormap)
        1    0.000    0.000    0.000    0.000 colors.py:1068(SymLogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1252(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1510(LightSource)
       19    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
        2    0.000    0.000    0.000    0.000 six.py:189(__get_module)
        1    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 colorbar.py:217(_ColorbarAutoLocator)
        1    0.000    0.000    0.000    0.000 docstring.py:7(Substitution)
        1    0.000    0.000    0.000    0.000 transforms.py:1777(Affine2DBase)
        1    0.000    0.000    0.000    0.000 transforms.py:2747(TransformedPath)
        1    0.000    0.000    0.000    0.000 collections.py:1105(LineCollection)
        2    0.000    0.000    0.000    0.000 cm.py:77(<listcomp>)
        1    0.000    0.000    0.000    0.000 ticker.py:205(_DummyAxis)
        1    0.000    0.000    0.000    0.000 ticker.py:1169(EngFormatter)
        1    0.000    0.000    0.000    0.000 ticker.py:1399(Locator)
        1    0.000    0.000    0.000    0.000 ticker.py:1591(LinearLocator)
        1    0.000    0.000    0.000    0.000 ticker.py:2604(OldAutoLocator)
        1    0.000    0.000    0.000    0.000 text.py:1682(OffsetFrom)
        1    0.000    0.000    0.000    0.000 text.py:1766(_AnnotationBase)
        1    0.000    0.000    0.000    0.000 patches.py:2281(Sawtooth)
        1    0.000    0.000    0.000    0.000 patches.py:3441(CurveFilledB)
        1    0.000    0.000    0.000    0.000 patches.py:3636(BarAB)
        1    0.000    0.000    0.000    0.000 textpath.py:32(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:1425(Char)
        1    0.000    0.000    0.000    0.000 mathtext.py:3227(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:30(GridSpecBase)
        1    0.000    0.000    0.000    0.000 gridspec.py:409(SubplotSpec)
        1    0.000    0.000    0.000    0.000 offsetbox.py:273(PackerBase)
        1    0.000    0.000    0.000    0.000 offsetbox.py:856(AuxTransformBox)
        1    0.000    0.000    0.000    0.000 image.py:773(AxesImage)
        1    0.000    0.000    0.000    0.000 image.py:1147(FigureImage)
        4    0.000    0.000    0.000    0.000 backend_bases.py:92(register_backend)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3011(ToolContainerBase)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3284(Show)
        1    0.000    0.000    0.000    0.000 backend_tools.py:26(Cursors)
        1    0.000    0.000    0.000    0.000 backend_tools.py:147(ToolToggleBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:394(ToolQuitAll)
        1    0.000    0.000    0.000    0.000 backend_tools.py:404(ToolEnableAllNavigation)
        1    0.000    0.000    0.000    0.000 backend_tools.py:471(ToolGrid)
        1    0.000    0.000    0.000    0.000 backend_tools.py:492(ToolMinorGrid)
        1    0.000    0.000    0.000    0.000 backend_tools.py:512(ToolFullScreen)
        1    0.000    0.000    0.000    0.000 backend_tools.py:726(ToolHome)
        1    0.000    0.000    0.000    0.000 backend_tools.py:744(ToolForward)
        1    0.000    0.000    0.000    0.000 backend_tools.py:1024(ToolHelpBase)
        1    0.000    0.000    0.000    0.000 widgets.py:61(Widget)
        1    0.000    0.000    0.000    0.000 widgets.py:635(TextBox)
        1    0.000    0.000    0.000    0.000 widgets.py:940(RadioButtons)
        1    0.000    0.000    0.000    0.000 widgets.py:1890(ToolHandles)
        1    0.000    0.000    0.000    0.000 widgets.py:2380(EllipseSelector)
        1    0.000    0.000    0.000    0.000 widgets.py:2538(PolygonSelector)
        2    0.000    0.000    0.000    0.000 model.py:12(qualify)
        1    0.000    0.000    0.000    0.000 model.py:297(__init__)
        2    0.000    0.000    0.000    0.000 legend_handler.py:262(__init__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:336(HandlerRegularPolyCollection)
        1    0.000    0.000    0.000    0.000 figure.py:169(SubplotParams)
        1    0.000    0.000    0.000    0.000 dates.py:950(DateLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1591(MicrosecondLocator)
        4    0.000    0.000    0.000    0.000 rrule.py:80(_invalidates_cache)
        1    0.000    0.000    0.000    0.000 rrule.py:93(rrulebase)
        1    0.000    0.000    0.000    0.000 rrule.py:1111(_iterinfo)
        1    0.000    0.000    0.000    0.000 tz.py:322(_ttinfo)
        1    0.000    0.000    0.000    0.000 tz.py:868(tzrange)
        1    0.000    0.000    0.000    0.000 tz.py:1469(GettzFunc)
        1    0.000    0.000    0.000    0.000 _factories.py:11(__call__)
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
        1    0.000    0.000    0.000    0.000 _parser.py:400(_ymd)
        1    0.000    0.000    0.000    0.000 mlab.py:3601(GaussianKDE)
        1    0.000    0.000    0.000    0.000 stackplot.py:8(<module>)
        1    0.000    0.000    0.000    0.000 tritools.py:10(TriAnalyzer)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:237(LinearTriInterpolator)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:293(CubicTriInterpolator)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:1231(_Sparse_Matrix_coo)
        2    0.000    0.000    0.000    0.000 axis.py:663(__init__)
        1    0.000    0.000    0.000    0.000 scale.py:601(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:96(get_projection_names)
        1    0.000    0.000    0.000    0.000 polar.py:19(PolarTransform)
        1    0.000    0.000    0.000    0.000 polar.py:86(PolarAffine)
        1    0.000    0.000    0.000    0.000 polar.py:373(ThetaAxis)
        1    0.000    0.000    0.000    0.000 polar.py:759(_WedgeBbox)
        1    0.000    0.000    0.000    0.000 backend_qt5agg.py:17(FigureCanvasQTAgg)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:542(MainWindow)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:864(SubplotToolQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:1115(_BackendQT5)
        1    0.000    0.000    0.000    0.000 formlayout.py:102(ColorLayout)
        1    0.000    0.000    0.000    0.000 formlayout.py:208(FormWidget)
        1    0.000    0.000    0.000    0.000 formlayout.py:361(FormTabWidget)
        3    0.000    0.000    0.000    0.000 __init__.py:26(<genexpr>)
        1    0.000    0.000    0.000    0.000 decorators.py:530(classproperty)
        1    0.000    0.000    0.000    0.000 decorators.py:770(sharedmethod)
        2    0.000    0.000    0.000    0.000 decorators.py:905(<listcomp>)
        1    0.000    0.000    0.000    0.000 paths.py:195(set_temp_config)
        1    0.000    0.000    0.000    0.000 validate.py:700(_unquote)
       15    0.000    0.000    0.000    0.000 runner.py:105(<lambda>)
        1    0.000    0.000    0.000    0.000 runner.py:454(remote_data)
        1    0.000    0.000    0.000    0.000 logger.py:207(enable_warnings_logging)
        1    0.000    0.000    0.000    0.000 logger.py:264(exception_logging_enabled)
        9    0.000    0.000    0.000    0.000 core.py:1508(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:1643(IrreducibleUnit)
        1    0.000    0.000    0.000    0.000 core.py:1851(Unit)
       17    0.000    0.000    0.000    0.000 fractions.py:278(denominator)
        1    0.000    0.000    0.000    0.000 console.py:12(Console)
        1    0.000    0.000    0.000    0.000 latex.py:13(Latex)
        1    0.000    0.000    0.000    0.000 quantity.py:58(QuantityIterator)
        1    0.000    0.000    0.000    0.000 quantity.py:1559(SpecificTypeQuantity)
        3    0.000    0.000    0.000    0.000 data_info.py:104(data_info_factory)
        1    0.000    0.000    0.000    0.000 metadata.py:171(MergePlus)
        1    0.000    0.000    0.000    0.000 metadata.py:184(MergeNpConcatenate)
        2    0.000    0.000    0.000    0.000 metadata.py:395(__init__)
        2    0.000    0.000    0.000    0.000 converters.py:41(modules)
        1    0.000    0.000    0.000    0.000 yacc.py:109(PlyLogger)
        1    0.000    0.000    0.000    0.000 yacc.py:1309(Production)
        1    0.000    0.000    0.000    0.000 yacc.py:3058(get_tokens)
        1    0.000    0.000    0.000    0.000 yacc.py:3092(get_precedence)
        1    0.000    0.000    0.000    0.000 lex.py:263(begin)
        1    0.000    0.000    0.000    0.000 lex.py:115(Lexer)
        1    0.000    0.000    0.000    0.000 lex.py:559(__init__)
        1    0.000    0.000    0.000    0.000 lex.py:584(get_tokens)
        7    0.000    0.000    0.000    0.000 lex.py:726(<lambda>)
        1    0.000    0.000    0.000    0.000 logarithmic.py:15(LogUnit)
        1    0.000    0.000    0.000    0.000 context.py:219(Process)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 reduction.py:247(AbstractReducer)
        1    0.000    0.000    0.000    0.000 groups.py:215(ColumnGroups)
        1    0.000    0.000    0.000    0.000 groups.py:307(TableGroups)
        1    0.000    0.000    0.000    0.000 index.py:651(_IndexModeContext)
        1    0.000    0.000    0.000    0.000 bst.py:492(FastBase)
        1    0.000    0.000    0.000    0.000 formats.py:974(TimeDatetime64)
        1    0.000    0.000    0.000    0.000 formats.py:1089(TimeEpochDate)
        1    0.000    0.000    0.000    0.000 formats.py:1190(TimeDeltaFormat)
        8    0.000    0.000    0.000    0.000 core.py:60(<genexpr>)
        4    0.000    0.000    0.000    0.000 table.py:655(<genexpr>)
        1    0.000    0.000    0.000    0.000 registry.py:123(<listcomp>)
        4    0.000    0.000    0.000    0.000 sortedlist.py:52(recursive_repr)
        1    0.000    0.000    0.000    0.000 serialize.py:176(_TableLite)
        1    0.000    0.000    0.000    0.000 shelve.py:77(Shelf)
        1    0.000    0.000    0.000    0.000 basic.py:131(CommentedHeader)
        1    0.000    0.000    0.000    0.000 basic.py:308(RdbHeader)
        1    0.000    0.000    0.000    0.000 fastbasic.py:13(FastBasic)
        1    0.000    0.000    0.000    0.000 cds.py:27(CdsHeader)
        1    0.000    0.000    0.000    0.000 fixedwidth.py:18(FixedWidthSplitter)
        1    0.000    0.000    0.000    0.000 html.py:258(HTML)
        1    0.000    0.000    0.000    0.000 ipac.py:320(Ipac)
        1    0.000    0.000    0.000    0.000 daophot.py:315(Daophot)
        1    0.000    0.000    0.000    0.000 __init__.py:368(__init__)
        1    0.000    0.000    0.000    0.000 composer.py:11(Composer)
        5    0.000    0.000    0.000    0.000 constructor.py:157(add_multi_constructor)
        1    0.000    0.000    0.000    0.000 constructor.py:473(FullConstructor)
        1    0.000    0.000    0.000    0.000 representer.py:13(BaseRepresenter)
        1    0.000    0.000    0.000    0.000 representer.py:272(Representer)
        1    0.000    0.000    0.000    0.000 column.py:44(<dictcomp>)
        1    0.000    0.000    0.000    0.000 column.py:363(_FormatX)
        1    0.000    0.000    0.000    0.000 column.py:437(ColumnAttribute)
        1    0.000    0.000    0.000    0.000 zipfile.py:313(ZipInfo)
        1    0.000    0.000    0.000    0.000 zipfile.py:773(ZipExtFile)
        1    0.000    0.000    0.000    0.000 base.py:730(_CorruptedHDU)
        1    0.000    0.000    0.000    0.000 image.py:949(PrimaryHDU)
        1    0.000    0.000    0.000    0.000 streaming.py:16(StreamingHDU)
        1    0.000    0.000    0.000    0.000 exceptions.py:183(VOWarning)
        1    0.000    0.000    0.000    0.000 tree.py:300(_NameProperty)
        1    0.000    0.000    0.000    0.000 tree.py:316(_XtypeProperty)
        1    0.000    0.000    0.000    0.000 tree.py:1792(ParamRef)
        1    0.000    0.000    0.000    0.000 collections.py:7(HomogeneousList)
        1    0.000    0.000    0.000    0.000 converters.py:142(Converter)
        1    0.000    0.000    0.000    0.000 converters.py:287(Char)
        1    0.000    0.000    0.000    0.000 converters.py:1076(Bit)
        8    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        1    0.000    0.000    0.000    0.000 _version.py:17(NumpyVersion)
        4    0.000    0.000    0.000    0.000 six.py:67(_add_doc)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:274(<listcomp>)
        1    0.000    0.000    0.000    0.000 interpolate.py:1877(NdPPoly)
        1    0.000    0.000    0.000    0.000 interpolate.py:2306(RegularGridInterpolator)
        1    0.000    0.000    0.000    0.000 kdtree.py:244(node)
        1    0.000    0.000    0.000    0.000 data.py:156(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 decorator.py:85(FunctionMaker)
        1    0.000    0.000    0.000    0.000 _cubic.py:228(Akima1DInterpolator)
        1    0.000    0.000    0.000    0.000 optimize.py:75(OptimizeResult)
        1    0.000    0.000    0.000    0.000 interface.py:453(_CustomLinearOperator)
        1    0.000    0.000    0.000    0.000 interface.py:636(IdentityOperator)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:112(__init__)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:240(BFGS)
        1    0.000    0.000    0.000    0.000 report.py:4(ReportBase)
        1    0.000    0.000    0.000    0.000 nonlin.py:691(LowRankMatrix)
        1    0.000    0.000    0.000    0.000 zeros.py:1011(TOMS748Solver)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:366(LocalSearchWrapper)
        1    0.000    0.000    0.000    0.000 _ode.py:590(complex_ode)
        1    0.000    0.000    0.000    0.000 _ode.py:772(IntegratorBase)
        1    0.000    0.000    0.000    0.000 _ode.py:1035(zvode)
        1    0.000    0.000    0.000    0.000 _ode.py:1194(dop853)
        1    0.000    0.000    0.000    0.000 _ode.py:1237(lsoda)
        1    0.000    0.000    0.000    0.000 radau.py:181(Radau)
        1    0.000    0.000    0.000    0.000 lsoda.py:7(LSODA)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:283(alpha_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:368(arcsine_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:744(burr_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:799(burr12_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1099(cosine_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1438(exponweib_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1536(fatiguelife_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1606(foldcauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1644(f_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1849(weibull_max_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2622(erlang_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2683(gengamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2896(gumbel_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2955(halfcauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3051(halfnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3102(hypsecant_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3257(invgauss_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3438(johnsonsb_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3485(johnsonsu_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3532(laplace_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3624(levy_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4206(loggamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4256(loglaplace_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4500(maxwell_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4591(kappa4_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4844(kappa3_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4897(moyal_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4989(nakagami_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5034(ncx2_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5167(t_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5242(nct_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5336(pareto_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5459(pearson3_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5606(powerlaw_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5701(powernorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5741(rdist_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5907(rice_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5972(recipinvgauss_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6017(semicircular_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6054(skew_norm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6185(triang_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6258(truncexpon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6380(tukeylambda_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6440(uniform_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6623(vonmises_gen)
